record_id,record_type,publication_form,scope,source_files,search_source,in_corpus,title,first_author,year,journal,venue_label,doi,pmid,arxiv_id,url,is_preprint,publication_types,language,issn,include,exclusion_reason,model_name,model_family,modality,body_region,patient_population,age_groups,clinical_problem,task,model_description,release_status,release_evidence,code_url,study_design,dataset_size,data_source,validation,headline_result,citations,citations_per_year,rcr,fwci,impact,impact_measure,nih_percentile,citation_percentile,citations_source,confidence,overridden_fields,extractor_model,prompt_version,extracted_on,conference_venue,pediatric_title,top_lists
40500925,corpus,journal article,pediatric,pedrad_paper_db.json; embase_unique_rows.json,pubmed,True,Identification of Atypical Scoliosis Patterns Using X-ray Images Based on Fine-Grained Techniques in Deep Learning.,Chen Y,2026,Global spine journal,Global spine journal,10.1177/21925682251349999,40500925,,https://doi.org/10.1177/21925682251349999,False,Journal Article,English,2192-5690 (electronic),True,,,"ResNet-50 (CNN, fine-grained classification)",x-ray / radiography,spine,"508 pairs of coronal/sagittal spinal radiographs from patients with Chiari-malformation-associated scoliosis, adolescent idiopathic scoliosis, and normal controls",adolescent; child,"Screening for scoliosis and, further, for atypical scoliosis patterns associated with Chiari Malformation type I using spinal X-rays.",detection / diagnosis,"Several ResNet-50-based fine-grained classification models (Coronal, Sagittal, Dual, Concat, Bilinear variants) take coronal and/or sagittal spine radiographs as input and output a scoliosis diagnosis and, for scoliotic cases, a classification distinguishing atypical (Chiari-malformation-associated) from typical adolescent idiopathic scoliosis; heatmaps highlight the radiographic features driving classification.",unclear,,,retrospective diagnostic study,508 pairs of coronal and sagittal spinal radiographs,not stated,internal only,ResNet-50 Dual model reached the diagnostic level of senior spine surgeons for CMS diagnosis; ResNet-50 Coronal model surpassed senior surgeons in specificity and PPV,0,0.0,,2.01,,,,,icite,medium,,claude-code sonnet (worklist),1,2026-09-10,,,
40576676,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Automated Sella-Turcica Annotation and Mesh Alignment of 3D Stereophotographs for Craniosynostosis Patients Using a PCA-FFNN Based Approach.,Bielevelt F,2026,The Journal of craniofacial surgery,The Journal of craniofacial surgery,10.1097/SCS.0000000000011623,40576676,,https://doi.org/10.1097/SCS.0000000000011623,False,"Journal Article; Research Support, Non-U.S. Gov't",,,True,,,PCA-FFNN (Principal Component Analysis + Feedforward Neural Network),CT; other,cranium/skull (craniosynostosis),"153 CT scans, including 68 craniosynostosis subjects (infants)",infant,"Noninvasively predicting the Sella turcica reference point for aligning 3D cranial stereophotographs in infants with craniosynostosis, to avoid the radiation of repeated CT for cranial morphology assessment.",measurement / quantification,"A PCA-FFNN model takes 3D cranial surface models (derived from CT/stereophotography) as input and predicts the Sella turcica coordinate, used to align 3D stereophotographs within a standardized reference frame as a noninvasive alternative to CT-based cranial assessment.",unclear,,,retrospective model development and comparison study,"153 CT scans, including 68 craniosynostosis subjects",not stated,internal only,"PCA-FFNN achieved significantly lower Sella turcica coordinate prediction error than the conventional CCFP method (3.61 vs. 8.38 mm, P < 0.001)",0,0.0,,0.88,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40576997,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Quantifying Sagittal Craniosynostosis Severity: A Machine Learning Approach With CranioRate.,Tao W,2026,The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,The Cleft palate-craniofacial journal : official publication of the American Cleft Palate-Craniofacial Association,10.1177/10556656251347366,40576997,,https://doi.org/10.1177/10556656251347366,False,Journal Article,,,True,,CranioRate,machine learning (supervised Sagittal Severity Score + unsupervised Cranial Morphology Deviation),CT,skull,"195 nonsyndromic sagittal craniosynostosis, 221 nonsyndromic metopic craniosynostosis, 178 age-matched controls; 54 surgeons rated 20 patients' CT scans",infant,objectively quantifying the severity of sagittal craniosynostosis to standardize assessment and surgical planning,measurement / quantification,"CranioRate uses a supervised machine learning model (Sagittal Severity Score, trained on surgeon Likert ratings) and an unsupervised model (Cranial Morphology Deviation) on CT-derived cranial landmarks to quantify sagittal craniosynostosis severity, compared against the traditional cephalic index.",unclear,,,cross-sectional model development with expert rating comparison,"195 SCS, 221 metopic CS, 178 controls; 54 surgeons rated 20 CT scans",multi center,reader study,Sagittal Severity Score significantly more accurate than cephalic index in predicting expert ratings (P<.05); Cranial Morphology Deviation correlated with SSS (Pearson 0.92),3,3.0,,3.6,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40616220,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Characterization of Healthy Pancreas Morphology Throughout Childhood.,Dudley JA,2026,"Clinical anatomy (New York, N.Y.)","Clinical anatomy (New York, N.Y.)",10.1002/ca.70003,40616220,,https://doi.org/10.1002/ca.70003,False,Journal Article,,,True,,,elastic net regression,CT,pancreas,"140 children under 18 years of age, contrast-enhanced CT",infant; child; adolescent,Characterizing normal pancreas morphology and shape across childhood to establish reference growth patterns using CT-based 3D segmentation,measurement / quantification,"Manual 3D segmentation of the pancreas on contrast-enhanced CT is used to extract radiomic shape features; elastic net regression models predict pancreas volume and shape metrics from age, weight, height, and body surface area.",unclear,,,retrospective study,140 children (<18 years),not stated,internal only,cross-validated r2 0.71-0.89 for pancreas volume/shape metrics,1,1.0,,0.44,,,,,icite,medium,,claude-code sonnet (worklist),1,2026-09-10,,,
40624375,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,External validation of an artificial intelligence tool for fracture detection in children with osteogenesis imperfecta: a multireader study.,Pauling C,2026,European radiology,European radiology,10.1007/s00330-025-11790-z,40624375,,https://doi.org/10.1007/s00330-025-11790-z,False,Journal Article; Validation Study,,,True,,,commercially available AI fracture-detection software,x-ray / radiography,appendicular skeleton and pelvis,48 patients with osteogenesis imperfecta from a single OI clinic,child,fracture detection in children with osteogenesis imperfecta,detection / diagnosis,"A commercially available AI fracture-detection tool analyzes appendicular and pelvic radiographs from children with osteogenesis imperfecta to flag fractures; seven radiologists' accuracy was compared before and after seeing the AI output, against a consensus reference standard.",commercial,a commercially available AI tool for fracture detection,,"retrospective external validation, multireader study","336 images from 48 patients (mean age 12 years), 206 fractures",single center,reader study,"AI per-exam accuracy 74.8%, radiologists alone 83.4%, radiologists with AI 90.7%",2,2.0,,0.83,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40670764,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Super-resolution deep learning in pediatric CTA for congenital heart disease: enhancing intracardiac visualization under free-breathing conditions.,Zhou X,2026,European radiology,European radiology,10.1007/s00330-025-11800-0,40670764,,https://doi.org/10.1007/s00330-025-11800-0,False,Journal Article,,,True,,,super-resolution deep learning reconstruction (SR-DLR),CT,heart,"91 pediatric patients aged 1-10 years suspected of congenital heart disease, single center",infant; child,improving intracardiac visualization on pediatric cardiac CT angiography for congenital heart disease under free-breathing conditions,reconstruction / imputation,"Super-resolution deep learning reconstruction is compared against conventional deep learning reconstruction and hybrid iterative reconstruction for pediatric cardiac CT angiography acquired under free breathing, assessed for image quality and diagnostic accuracy of congenital heart disease.",unclear,,,retrospective single-center comparative study,91 pediatric patients,single center,internal only,"SR-DLR accuracy 99.12%, sensitivity 99.07%, exceeding conventional DLR and hybrid iterative reconstruction",3,3.0,,2.55,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40702208,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Non-invasive meningitis screening in neonates and infants: multicentre international study.,Ajanovic S,2026,Pediatric research,Pediatric research,10.1038/s41390-025-04179-7,40702208,,https://doi.org/10.1038/s41390-025-04179-7,False,Journal Article; Multicenter Study,,,True,,,,ultrasound,brain (CSF via fontanelle),"76 patients under 24 months with suspected meningitis, across Spain, Mozambique, and Morocco",neonate; infant,Screening for meningitis in neonates and infants using non-invasive transfontanellar ultrasound instead of lumbar puncture,detection / diagnosis,"A deep learning model classifies high-resolution transfontanellar ultrasound images of cerebrospinal fluid to predict elevated white blood cell counts (>=30 cells/mm3), screening for meningitis without lumbar puncture.",unclear,,,prospective multicentre international study,3782 images from 76 patients,multi center,external / multi-center,"sensitivity 94.4%, specificity 94.8%",1,1.0,,0.55,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40711551,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Image quality in ultra-low-dose chest CT versus chest x-rays guiding paediatric cystic fibrosis care.,Moore N,2026,European radiology,European radiology,10.1007/s00330-025-11835-3,40711551,,https://doi.org/10.1007/s00330-025-11835-3,False,Journal Article; Comparative Study,,,True,,,,CT; x-ray / radiography,"chest (lung, cystic fibrosis)","Children with cystic fibrosis; ten paired ULDCT/CXR image sets rated by 75 participants (25 radiologists, 50 radiographers)",child; adolescent,Comparing image quality of ultra-low-dose CT (AI-enhanced reconstruction) versus chest X-ray for monitoring lung disease in children with cystic fibrosis,reconstruction / imputation,Ultra-low-dose CT using AI-enhanced deep-learning iterative reconstruction achieves chest-X-ray-comparable radiation doses; image quality and diagnostic confidence were compared with conventional chest X-ray by radiologists and radiographers in children with cystic fibrosis.,unclear,,,prospective comparative reader study,10 paired ULDCT/CXR image sets; 75 reader participants,single center,reader study,88% of readers preferred ULDCT over CXR; VGC AUC 0.63,1,1.0,,1.19,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40721282,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Constructing a Predictive Model for Children with Autism Spectrum Disorder Based on Whole-Brain MR Radiomics: A Machine Learning Study.,Chen X,2026,AJNR. American journal of neuroradiology,AJNR. American journal of neuroradiology,10.3174/ajnr.A8939,40721282,,https://doi.org/10.3174/ajnr.A8939,False,Journal Article,,,True,,,radiomics + machine learning (decision tree with radiomics signature),MRI,"brain (whole-brain: white matter, gray matter, CSF)",223 subjects from ABIDE database (120 ASD) for training/test; independent external test of 87 participants (38 ASD) from Georgetown/Miami ASD datasets,child; adolescent,"Building an objective predictive model to identify children with autism spectrum disorder using whole-brain structural MRI radiomics, to complement subjective behavioral diagnosis",detection / diagnosis,"A radiomics-based machine learning model extracting whole-brain white matter, gray matter and CSF structural MRI features, combined with a clinical predictor (Verbal IQ) via multivariate logistic regression, with a decision-tree joint model classifying children as ASD versus non-ASD and stratifying low-/high-risk subgroups.",unclear,,,Retrospective multi-cohort model development with independent external validation using public datasets,223 ABIDE subjects (training/test) + 87 external test subjects (Georgetown/Miami),public dataset,external / multi-center,"Joint radiomics+VIQ decision-tree model AUC 0.87 (training), 0.84 (test), 0.83 (external test)",0,0.0,,0.0,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40758204,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,A Novel Dual-Output Deep Learning Model Based on InceptionV3 for Radiographic Bone Age and Gender Assessment.,Rayed B,2026,Journal of imaging informatics in medicine,Journal of imaging informatics in medicine,10.1007/s10278-025-01623-2,40758204,,https://doi.org/10.1007/s10278-025-01623-2,False,Journal Article,,,True,,,InceptionV3 (CNN) with Squeeze-and-Excitation blocks,x-ray / radiography,hand and wrist,"14,048 hand-wrist radiographs from the 2017 RSNA Pediatric Bone Age Challenge open dataset",child; adolescent; infant,Automating bone age and sex assessment from hand-wrist radiographs to support clinical decision-making.,measurement / quantification; detection / diagnosis,An InceptionV3-based multi-output model with Squeeze-and-Excitation layers takes a digital hand-wrist radiograph as input and simultaneously outputs a predicted bone age and predicted sex.,unclear,,,retrospective model development and internal test-set evaluation using a public dataset,"14,048 hand-wrist radiographs (2017 RSNA Pediatric Bone Age Challenge), 7:2:1 train/val/test split",public dataset,internal only,"Bone age: MSE ~25, MAE 3.1, ICC 0.997; sex classification: accuracy 95%, AUC 97%, Cohen's kappa 0.898",0,0.0,,0.99,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40773751,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Artificial Intelligence for the Detection of Fetal Ultrasound Findings Concerning for Major Congenital Heart Defects.,Zelop CM,2026,Obstetrics and gynecology,Obstetrics and gynecology,10.1097/AOG.0000000000006027,40773751,,https://doi.org/10.1097/AOG.0000000000006027,False,Journal Article; Multicenter Study,,,True,,,,ultrasound,fetal heart,"877 examinations from 11 centers, second-trimester fetal ultrasounds",fetal,"identifying second-trimester fetal ultrasound findings suspicious for major congenital heart defects using AI-based software, to improve antenatal CHD detection",detection / diagnosis,AI-based software analyzes grayscale 2D ultrasound cine clips from second-trimester fetal echocardiographic examinations as input and outputs presence/absence/inconclusive labels for eight morphologic findings associated with severe congenital heart defects.,unclear,,,retrospective multicenter diagnostic accuracy study,877 examinations from 11 centers,multi center,external / multi-center,"Sensitivity 0.968 for severe CHD; sensitivity 0.987, specificity 0.977 for detecting any suspicious finding vs fetal cardiologists",5,5.0,4.39,4.71,4.71,fwci,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40785001,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Decoding fetal motion in 4D ultrasound with DeepLabCut.,Inubashiri E,2026,Journal of medical ultrasonics (2001),Journal of medical ultrasonics (2001),10.1007/s10396-025-01557-w,40785001,,https://doi.org/10.1007/s10396-025-01557-w,False,Journal Article,,,True,,DeepLabCut (DLC),markerless pose-estimation deep learning,ultrasound,fetal joints (whole body motion),"50 four-dimensional ultrasound recordings of normal singleton fetuses, 12-22 gestational weeks",fetal,Objectively and quantitatively assessing fetal motor behavior and neurodevelopment from 4D ultrasound video.,measurement / quantification,"A customized DeepLabCut model, trained on manually labeled fetal joint positions, tracks eight fetal joints across 4D ultrasound video frames to quantify joint angular velocity and movement coordination over gestational age.",unclear,,,retrospective methods-validation study,50 four-dimensional ultrasound video recordings,not stated,internal only,"Model achieved a mean likelihood (tracking accuracy) score of 0.960; inter-rater ICC 0.990, intra-rater ICC 0.961 for manual labeling",0,0.0,,0.0,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
40789016,corpus,journal article,pediatric,pedrad_paper_db.json,pubmed,True,Computer-aided diagnosis of DDH using ultrasound: deep learning for segmentation and accurate angle measurement aligned with radiologist's clinical workflow.,Yilmaz ME,2026,Medical ultrasonography,Medical ultrasonography,10.11152/mu-4535,40789016,,https://doi.org/10.11152/mu-4535,False,Journal Article,,,True,,,,ultrasound,hip,370 newborns (452 raw images),neonate,Computer-aided diagnosis of developmental dysplasia of the hip via automated ultrasound segmentation and Graf angle (alpha/beta) measurement,segmentation; measurement / quantification,"Deep learning segmentation models (U-Net, Mask R-CNN, YOLOv8, YOLOv11) segment hip ultrasound anatomy and calculate Graf alpha and beta angles for developmental dysplasia of the hip assessment, benchmarked against expert measurements.",unclear,,,retrospective model development,452 images from 370 newborns,not stated,internal only,"YOLOv11 Dice 0.990, mAP 0.991; ICC alpha/beta 0.929/0.952 (Method-II)",1,1.0,,0.0,,,,,icite,high,,claude-code sonnet (worklist),1,2026-09-10,,,
