record_id,year,title,clinical_problem,topics,dataset_mentions
40576997,2026,Quantifying Sagittal Craniosynostosis Severity: A Machine Learning Approach With CranioRate.,objectively quantifying the severity of sagittal craniosynostosis to standardize assessment and surgical planning,,
40616220,2026,Characterization of Healthy Pancreas Morphology Throughout Childhood.,Characterizing normal pancreas morphology and shape across childhood to establish reference growth patterns using CT-based 3D segmentation,,
40624375,2026,External validation of an artificial intelligence tool for fracture detection in children with osteogenesis imperfecta: a multireader study.,fracture detection in children with osteogenesis imperfecta,Fracture / trauma / abuse,
40670764,2026,Super-resolution deep learning in pediatric CTA for congenital heart disease: enhancing intracardiac visualization under free-breathing conditions.,improving intracardiac visualization on pediatric cardiac CT angiography for congenital heart disease under free-breathing conditions,Cardiac / congenital heart,
40702208,2026,Non-invasive meningitis screening in neonates and infants: multicentre international study.,Screening for meningitis in neonates and infants using non-invasive transfontanellar ultrasound instead of lumbar puncture,,
40711551,2026,Image quality in ultra-low-dose chest CT versus chest x-rays guiding paediatric cystic fibrosis care.,Comparing image quality of ultra-low-dose CT (AI-enhanced reconstruction) versus chest X-ray for monitoring lung disease in children with cystic fibrosis,Chronic lung / airway,
40721282,2026,Constructing a Predictive Model for Children with Autism Spectrum Disorder Based on Whole-Brain MR Radiomics: A Machine Learning Study.,"Building an objective predictive model to identify children with autism spectrum disorder using whole-brain structural MRI radiomics, to complement subjective behavioral diagnosis",Autism / ADHD / psychiatric,ABIDE
40758204,2026,A Novel Dual-Output Deep Learning Model Based on InceptionV3 for Radiographic Bone Age and Gender Assessment.,Automating bone age and sex assessment from hand-wrist radiographs to support clinical decision-making.,Bone age / skeletal maturation,RSNA bone age
40773751,2026,Artificial Intelligence for the Detection of Fetal Ultrasound Findings Concerning for Major Congenital Heart Defects.,"identifying second-trimester fetal ultrasound findings suspicious for major congenital heart defects using AI-based software, to improve antenatal CHD detection",Fetal assessment / prenatal; Cardiac / congenital heart,
40785001,2026,Decoding fetal motion in 4D ultrasound with DeepLabCut.,Objectively and quantitatively assessing fetal motor behavior and neurodevelopment from 4D ultrasound video.,Brain development / cognition; Fetal assessment / prenatal,
40789016,2026,Computer-aided diagnosis of DDH using ultrasound: deep learning for segmentation and accurate angle measurement aligned with radiologist's clinical workflow.,Computer-aided diagnosis of developmental dysplasia of the hip via automated ultrasound segmentation and Graf angle (alpha/beta) measurement,Hip dysplasia,
40789484,2026,Brain Myelin in Children With Attention-Deficit/Hyperactivity Disorder: A Longitudinal T1-Weighted/T2-Weighted Ratio Study.,Characterizing developmental trajectories of white matter myelination in children with ADHD compared to typically developing children,Autism / ADHD / psychiatric,
40815390,2026,Comprehensive analysis of [18F]MFBG biodistribution normal patterns and variability in pediatric patients with neuroblastoma.,Characterizing normal physiological biodistribution of [18F]MFBG PET/CT in pediatric neuroblastoma patients to distinguish normal from pathological uptake,,
40848140,2026,Diagnostic value of artificial intelligence-based software for the detection of pediatric upper extremity fractures.,Detecting upper extremity fractures in children presenting to the emergency department,Fracture / trauma / abuse,
40890480,2026,"Pulmonary T2* quantification of fetuses with congenital diaphragmatic hernia: a retrospective, case-controlled, MRI pilot study.",Assessing fetal lung volumes and function (via T2* relaxometry) in congenital diaphragmatic hernia to help predict prognosis (survival),Fetal assessment / prenatal,
40902057,2026,CINeMA: Conditional Implicit Neural Multi-Modal Atlas for a Spatio-Temporal Representation of the Perinatal Brain.,Build a spatio-temporal brain atlas to characterize normal and pathological fetal/neonatal brain development for tissue segmentation and age prediction,Brain development / cognition; Fetal assessment / prenatal,
40920305,2026,FetalMLOps: operationalizing machine learning models for standard fetal ultrasound plane classification.,Classifying standard fetal ultrasound planes to support prenatal anomaly screening,Fetal assessment / prenatal,
40920364,2026,AI-Driven Fetal Liver Echotexture Analysis: A New Frontier in Predicting Neonatal Insulin Imbalance.,"Predicting elevated neonatal insulin (C-peptide) levels, a marker of neonatal insulin imbalance related to gestational diabetes, from fetal liver ultrasound echotexture.",Fetal assessment / prenatal; Liver / biliary,
40930590,2026,What is radiomics?,"Explaining what radiomics is and its potential clinical applications, for a pediatric clinician audience",,
40934807,2026,SurfGNN: A robust surface-based prediction model with interpretability for coactivation maps of spatial and cortical features.,predicting neonatal (postmenstrual) brain age from cortical surface MRI features,Brain development / cognition,
40945809,2026,The combined use of cervical ultrasound and deep learning improves the detection of patients at risk for spontaneous preterm delivery.,"predicting spontaneous preterm birth from cervical ultrasound, compared to cervical length measurement",Liver / biliary,
40957691,2026,Prediction of CSF Intervention in Fetal Ventriculomegaly via Artificial Intelligence-Powered Normative Modeling.,differentiating fetal ventriculomegaly from hydrocephalus and predicting need for postnatal CSF intervention,Fetal assessment / prenatal; Hydrocephalus,
40986046,2026,Early prediction of periventricular leukomalacia from MRI changes: a machine learning approach for risk stratification.,Early prediction of periventricular leukomalacia (white matter brain injury) in high-risk infants using clinical and MRI data,Neonatal brain injury,
40990984,2026,Clinical deployment and prospective validation of an AI model for limb-length discrepancy measurements using an open-source platform.,"Measuring limb-length discrepancy in children from EOS scanogram radiographs, and prospectively validating clinical deployment of the AI measurement tool.",,
40993360,2026,Automated detection of neonatal pulmonary hypertension in echocardiograms with a deep learning model.,"Automating detection of pulmonary hypertension in infants from standard echocardiography videos, which normally requires time- and expertise-intensive manual interpretation.",Cardiac / congenital heart,
40996527,2026,Proof-of-concept comparison of an artificial intelligence-based bone age assessment tool with Greulich-Pyle and Tanner-Whitehouse version 2 methods in a pediatric cohort.,bone age assessment for pediatric growth disorders,Bone age / skeletal maturation,
41021932,2026,End-to-End Spatiotemporal Analysis of Color Doppler Echocardiograms: Application for Rheumatic Heart Disease Detection.,Detect early rheumatic heart disease from color Doppler echocardiograms in resource-limited settings,Cardiac / congenital heart,
41046707,2026,Non-invasive urine flow dynamics characterization of pediatric hydronephrosis based on deep learning and computational fluid dynamics.,characterize urine flow dynamics for diagnosis and prognosis of pediatric hydronephrosis due to ureteropelvic junction obstruction,Renal / urinary,
41056154,2026,Q-Space Guided Multi-Modal Translation Network for Diffusion-Weighted Image Synthesis.,synthesizing densely-sampled diffusion-weighted imaging from limited/flexible q-space sampling to shorten acquisition time,,
41060417,2026,Safe for kids? AI medical devices in radiology overlook paediatric suitability.,whether the AI devices a European radiology department can buy say anything about being safe for children,,
41063440,2026,Diffusion Tractography Biomarker for Epilepsy Severity in Children With Drug-Resistant Epilepsy.,predict clinical epilepsy severity and screen for neurocognitive impairment in children with drug-resistant epilepsy using diffusion MRI tractography,Brain development / cognition; Epilepsy,
41066289,2026,Detailed Delineation of the Fetal Brain in Diffusion MRI via Multi-Task Learning.,"segmenting tissue, white matter tracts and cortical/subcortical regions on fetal brain diffusion MRI",Fetal assessment / prenatal,
41068314,2026,Prediction of motor developmental outcomes based on MRI radiomics in premature infants.,Predicting motor developmental delay in preterm infants using brain MRI radiomics at term-equivalent age,,
41071450,2026,Evaluation of image quality in pediatric portable chest radiographs using AI-based noise reduction and edge enhancement.,Improving image quality of pediatric portable chest radiographs without increasing radiation dose,,
41081829,2026,Accelerated magnetic resonance imaging of hippocampal sclerosis in pediatric patients with deep learning-based reconstruction: comparison of image quality and diagnostic performance with conventional reconstruction.,reduce scan time while preserving image quality and diagnostic detectability of hippocampal sclerosis in pediatric epilepsy MRI,Epilepsy,
41090642,2026,Metadata Resolution Spoofing for Pediatric Application of Adult-Trained Deep Learning Models for Pancreas Segmentation on CT.,pancreas segmentation on pediatric CT using adult-trained deep learning models,,
41094110,2026,Use of machine learning predictive models in sagittal alignment planning in adolescent idiopathic scoliosis surgery.,Predicting postoperative sagittal spinopelvic alignment changes after spinal fusion surgery in adolescent idiopathic scoliosis,Scoliosis / spine deformity,
41100866,2026,Use of Artificial Intelligence-Based Software to Aid in the Identification of Ultrasound Findings Associated With Fetal Congenital Heart Defects.,evaluating whether AI-based software improves ob-gyn and maternal-fetal medicine specialists' identification of second-trimester fetal ultrasound findings suspicious for congenital heart defects,Fetal assessment / prenatal; Cardiac / congenital heart,
41102035,2026,Enhancing Newborn Health Assessment: Ultrasound-based Body Composition Prediction Using Deep Learning Techniques.,Assessing newborn body composition (fat mass and fat-free mass) noninvasively using ultrasound,,
41104708,2026,A Simplified and Data-Driven Lung Ultrasound Approach for Predicting Surfactant Need in Preterm Infants: A Pilot Study Using Machine Learning and Rule-Based Models.,predict need for surfactant replacement therapy in preterm infants using regional lung ultrasound scores,,
41117885,2026,Dual-task deep learning model for prediction of medulloblastoma molecular subgroups with preoperative brain MRI.,Noninvasive prediction of medulloblastoma molecular subgroup from preoperative brain MRI,Brain / CNS tumors,
41129910,2026,AI-assisted age estimation in children based on a combination of bone and tooth maturity.,combined skeletal and dental age estimation in children and adolescents (forensic),,
41141653,2026,Impact of deep learning on CT-based organ-at-risk delineation for flank irradiation in paediatric renal tumours: a SIOP-RTSG radiotherapy committee study.,"Automated deep-learning contouring of organs at risk on CT for radiotherapy planning in children with renal tumors, compared with manual delineation.",Renal / urinary,
41152101,2026,An Interpretable Radiomics Model Based on Pituitary MRI to Predict Growth Hormone Deficiency in Short-statured Children: A Multicenter Study.,"predicting growth hormone deficiency in short-statured children, as an alternative to the GH stimulation test",,
41160488,2026,Development and validation of a deep learning-based algorithm for quantifying bronchiolitis obliterans in paediatric computed tomography.,quantifying bronchiolitis obliterans severity on pediatric chest CT,Pulmonary infection,
41164991,2026,Fetal cardiac remodeling in second trimester in pregnancies with pre-eclampsia and/or fetal growth restriction: deep-learning-based approach using population-wide data.,Examining fetal cardiac remodeling in second-trimester pregnancies affected by pre-eclampsia and/or fetal growth restriction,Fetal assessment / prenatal; Cardiac / congenital heart,
41176552,2026,Deep learning for accurate tumour volume measurement and prediction of therapy response in paediatric osteosarcoma.,measuring tumor volume and predicting chemotherapy response in pediatric osteosarcoma,,
41192134,2026,Cervical texture analysis in mid-trimester scan to predict spontaneous preterm birth: A case-control study.,predict risk of spontaneous preterm birth using cervical texture analysis on mid-trimester transvaginal ultrasound,,
41193818,2026,Optimizing infant magnetic resonance imaging efficiency: Deep learning-assisted feed-and-wrap technique versus general anesthesia using an infant magnetic resonance imaging stabilizer in infants under 4 months.,reducing MRI turnover time in infants by combining a sedation-free feed-and-wrap technique with deep-learning image reconstruction,,
41197552,2026,Assessing deep learning artificial intelligence support for detecting elbow fractures in the pediatric emergency department.,Detecting elbow fractures on pediatric trauma radiographs,Fracture / trauma / abuse,
41207960,2026,Prediction of Cobb angle progression in female patients with mild-to-moderate adolescent idiopathic scoliosis.,Predicting Cobb angle progression in girls with mild-to-moderate adolescent idiopathic scoliosis,Scoliosis / spine deformity,
41216970,2026,Machine learning versus traditional formulas for fetal weight estimation: An international multicenter study evaluating prediction accuracy across birth weight percentiles.,"estimate fetal/birth weight from ultrasound biometric and maternal features, compared with the standard Hadlock formula",Fetal assessment / prenatal,
41219520,2026,Deep learning-enhanced zero echo time silent brain magnetic resonance imaging in infants without sedation.,improving image quality of sedation-free 'silent' infant brain MRI to reduce need for sedation,,
41222631,2026,Small lesion-high risk: diagnostic performance of artificial intelligence in paediatric fractures with medicolegal impact.,"detecting rare but medicolegally high-risk pediatric fractures (lateral humeral condyle, Monteggia, trampoline proximal tibia, medial malleolar)",Fracture / trauma / abuse,
41231298,2026,Locally deployed context-aware chatbot outperforms generic large language models for guideline-concordant pediatric imaging recommendations.,Recommending the appropriate imaging modality for pediatric clinical scenarios per ACR Appropriateness Criteria,,
41231299,2026,Clinical evaluation of two artificial intelligence algorithms in standard radiography for post-traumatic exploration of peripheral limbs in children.,"Detecting fractures (and, for one algorithm, joint effusions/dislocations) on radiographs of children with limb trauma in the emergency department",Fracture / trauma / abuse,
41231332,2026,Automated AI fracture detection in initial presentation pediatric wrist X-rays: effects and benefits of adding follow-up examinations.,"detect pediatric wrist fractures on X-ray, and whether including follow-up examinations improves detection",Fracture / trauma / abuse,GRAZPEDWRI-DX
41238767,2026,"Enhanced prediction of postlaminar optic nerve invasion in retinoblastoma using high-resolution MRI: integrating qualitative imaging features, optic nerve measurements and tumor radiomics.",Predicting postlaminar optic nerve invasion in children with retinoblastoma using MRI,,
41238791,2026,Towards automated fetal brain biometry reporting for 3-dimensional T2-weighted 0.55-3T magnetic resonance imaging at 20-40 weeks gestational age range.,"fully automated reporting of fetal brain biometric measurements (13 linear measurements) from 3D T2-weighted MRI with z-scores/centiles versus normative growth charts, to standardize and speed clinical reporting",Fetal assessment / prenatal,
41251696,2026,Multivendor comparison study of artificial intelligence software for automated fracture detection in paediatric patients.,"detecting posttraumatic findings (fractures, effusions, dislocations) in pediatric emergency radiographs",Fracture / trauma / abuse,
41251736,2026,Predicting chemotherapy response in pediatric lymphoma using pre-treatment contrast-enhanced CT radiomics: A hypothesis-generating study.,predict chemotherapy response in pediatric lymphoma from baseline contrast-enhanced CT radiomics,,
41251863,2026,Enhanced Fetal Plane Classification in Ultrasound Imaging via Prototypical Networks and Few-Shot Learning.,"automatically classify standard fetal ultrasound planes for prenatal screening, especially with limited labeled data",Fetal assessment / prenatal,
41258793,2026,US-derived Pediatric Kidney Length and Volume Percentiles by Age: A Big Data Approach.,normative pediatric kidney size (length and volume) reference values,Renal / urinary,
41274084,2026,Triplet longitudinal masked autoencoder for predicting individualized functional connectome development during infancy.,"predict the full dynamic developmental trajectory of infant functional connectivity from incomplete longitudinal resting-state fMRI, to help identify neurodevelopmental disorders",Brain development / cognition,
41274088,2026,A functional system-informed graph neural network framework to quantify interpretable brain dysfunction in ASD.,Diagnosing autism spectrum disorder and identifying interpretable patterns of brain dysfunction from functional MRI,Autism / ADHD / psychiatric,ABIDE
41274092,2026,Ultra-low dose CT for suspected physical abuse.,evaluate feasibility of ultra-low-dose whole-body CT with deep-learning-based reconstruction to replace skeletal-survey radiography in suspected child physical abuse,,
41276667,2026,Cautionary lessons from real-world testing of GPT-4.1 AI for pediatric foreign body aspiration.,detecting and lateralizing pediatric airway foreign body aspiration from clinical data and chest radiographs,Chronic lung / airway,
41295918,2026,Development of a time-dependent random survival forest model for predicting FGR based on prenatal screening date.,predict onset and risk of fetal growth restriction using a time-dependent survival model integrating serial prenatal screening markers,Fetal assessment / prenatal,
41307664,2026,Application of deep neural networks in automatized ventriculometry and segmentation of the aqueduct in pediatric hydrocephalus patients.,"automated segmentation and quantification of ventricular size and the aqueduct in pediatric hydrocephalus, which has irregular and asymmetric ventricular shapes",Hydrocephalus,
41313724,2026,Computer-Aided Diagnosis of Pneumoperitoneum on Neonatal Abdominal Radiographs.,detect neonatal gastrointestinal perforation (pneumoperitoneum) on abdominal radiographs,,
41313924,2026,Adapt or specialize? A comprehensive evaluation of adapted SAM versus task-specific CNNs for fetal abdominal segmentation.,segment internal fetal abdominal organs on ultrasound for prenatal screening of fetal growth and congenital anomalies,Fetal assessment / prenatal,
41320569,2026,Prognostic value of CT scoring systems and a simplified prediction model for pediatric moderate-to-severe traumatic brain injury.,Prognosis in pediatric moderate-to-severe traumatic brain injury using CT scoring systems,Fracture / trauma / abuse,
41320594,2026,Enhancing Pediatric Fracture Detection: Multicenter Evaluation of a Deep Learning AI Model and Its Impact on Radiologist Performance.,Detecting pediatric fractures on musculoskeletal radiographs and improving radiologist accuracy,Fracture / trauma / abuse,
41321009,2026,A comparative study of the interpretation results of different artificial intelligence bone age assessment software.,skeletal maturity / bone age assessment,Bone age / skeletal maturation,
41324590,2026,Regional brain age is decreased in children with sickle cell anemia.,detecting abnormal brain development (brain age gap) and classifying sickle cell anemia status in children,Brain development / cognition,
41325115,2026,Super-Resolution Reconstruction of Fetal Brain MRI With Multi-View Interpolation Weight Learning.,generating high-quality isotropic fetal brain MR images from motion-corrupted thick-slice scans,Fetal assessment / prenatal,
41344618,2026,Abnormal dynamic connectivity patterns in self-limited epilepsy with centrotemporal spikes.,Characterizing abnormal dynamic functional brain connectivity in children with self-limited epilepsy with centrotemporal spikes to understand functional impairment.,Epilepsy,
41347951,2026,Digital profile of children's hearts: automated echocardiogram strain analysis facilitates earlier detection of cardiac dysfunction.,automating myocardial strain analysis from pediatric echocardiograms to standardize measurement and enable earlier detection of cardiac dysfunction,Cardiac / congenital heart,
41349438,2026,The added value of radiomic analysis for predicting spontaneous preterm birth in the first trimester.,Predicting spontaneous preterm birth in the first trimester from transvaginal ultrasound radiomics to enable earlier intervention.,,
41351882,2026,First-trimester Placental Ultrasound (FirstPLUS) study: prediction of fetal growth restriction using OxNNet-derived first-trimester placental volume.,"Predicting fetal growth restriction using automated first-trimester placental volume measured from 3D ultrasound, alongside maternal factors and biomarkers.",Fetal assessment / prenatal,
41357951,2026,Magnetic resonance image enhancement and segmentation using conventional and deep learning denoising techniques for dynamic cerebral angiography.,"Improving image quality and automated vessel segmentation in infant dynamic cerebral angiography MRI, which is degraded by motion and noise.",,
41369105,2026,Automated Computed Tomography Segmentation of the Pharyngeal Airway and Palate to Accelerate Tübingen Palatal Plate Fabrication in Pierre Robin Sequence.,Automating CT segmentation of the airway and palate to accelerate fabrication of a Tubingen palatal plate for infants with Pierre Robin sequence airway obstruction.,Chronic lung / airway,
41379890,2026,BONBID-HIE 2023: Lesion Segmentation Challenge in BOston Neonatal Brain Injury Data for Hypoxic Ischemic Encephalopathy.,segmenting hypoxic-ischemic encephalopathy lesions on neonatal brain MRI to aid outcome prediction,Neonatal brain injury,
41379899,2026,Clinically Generalizable Low-Dose CT Denoising for Pediatric Imaging via Enhanced Diffusion Posterior Sampling.,Reducing radiation dose in pediatric CT by denoising low-dose CT images to normal-dose quality without requiring paired structurally-aligned training data,,
41380657,2026,Construction and clinical validation of a fetal brain magnetic resonance imaging-prediction model based on multimodal AI fusion algorithm.,Predicting abnormal fetal brain development from fetal MRI and clinical indicators,Brain development / cognition; Fetal assessment / prenatal,
41385426,2026,T2AgeNet: A Text-Guided Framework With Tissue Features for Brain Age Estimation.,tissue-level brain age estimation to detect abnormal neurodevelopment and neurodegeneration,Brain development / cognition,ABIDE
41388953,2026,Image quality with reduced radiation dose and contrast medium of cardiac computed tomography in infants with congenital heart disease using 70 KVP and DEEP-learning reconstruction with 256-detector CT.,Reducing radiation dose and contrast medium while maintaining image quality in cardiac CT angiography for infants with congenital heart disease,Cardiac / congenital heart,
41389104,2026,Performance of a deep learning-based algorithm for automated measurements of Cobb angles on preoperative spine radiographs in adolescent idiopathic scoliosis.,"Measuring Cobb angle on preoperative whole-spine radiographs in adolescent idiopathic scoliosis, including severe and extreme curves",Scoliosis / spine deformity,
41391612,2026,Multimodality Artificial Intelligence for Involved-Site Radiation Therapy: Clinical Target Volume Delineation in High-Risk Pediatric Hodgkin Lymphoma.,Automating clinical target volume delineation for involved-site radiation therapy planning in high-risk pediatric Hodgkin lymphoma using multimodality PET/CT.,,
41395634,2026,Development and Validation of an Automated Pipeline for the Detection of Monteggia Fracture Dislocations in Pediatric Radiographs.,detecting Monteggia fracture dislocations (radial head dislocation with ulnar fracture) on pediatric elbow radiographs,Fracture / trauma / abuse,
41407149,2026,Distinguishing resilience from susceptibility: Brain network alterations during fear learning in response to childhood unpredictability.,classifying resilience vs susceptibility to childhood adversity from fear-learning brain network connectivity,,
41424415,2026,Machine learning-based prediction of large-for-gestational-age neonates in diabetic and non-diabetic pregnancies.,"Predicting large-for-gestational-age neonates from sonographic fetal biometry and maternal clinical parameters, compared to the standard Hadlock estimated-fetal-weight formula.",Fetal assessment / prenatal,
41432745,2026,Myelination-attention-empowered deep learning model improved brain age prediction in children below 2 years of age.,predicting brain maturational age in early infancy to flag neurodevelopmental disorders,Brain development / cognition,
41449873,2026,Advanced Fetal Cardiac Disease Detection Using Optimized Gegenbauer Graph Neural Networks on Ultrasound Images to Facilitate Early Diagnosis and Clinical Assessment.,Early detection of fetal congenital cardiac anomalies from ultrasound imaging to enable timely intervention.,Fetal assessment / prenatal; Cardiac / congenital heart,
41452608,2026,Forecasting Spoken Language Development in Children With Cochlear Implants Using Preimplant Magnetic Resonance Imaging.,"Predicting which children with cochlear implants will have high versus low spoken-language improvement, from pre-implant brain MRI",,
41453667,2026,"Structural alterations related to emotion dysregulation, anxiety and self-harm in adolescents borderline personality disorder. A source-based morphometry study.","Identifying structural brain differences related to emotion dysregulation, anxiety and self-harm in adolescents with borderline personality disorder.",Autism / ADHD / psychiatric,
41459299,2026,"Improving Tuberculosis Diagnosis Through Artificial Intelligence (CAD4TB) and Stool Xpert MTB/RIF Testing: A Prospective Study From Oromia, Ethiopia.","Improving tuberculosis case detection, including in children, using AI-assisted chest radiograph screening combined with stool Xpert MTB/RIF testing among household contacts.",Pulmonary infection,
41460944,2026,A Fully Automated Multistage Deep Learning System for Lenke Classification: Enhanced Diagnostic Precision in Adolescent Idiopathic Scoliosis.,Fully automated Lenke classification of adolescent idiopathic scoliosis from spinal radiographs to reduce interobserver variability in surgical planning.,Scoliosis / spine deformity,
41476390,2026,Evaluating the efficacy and diagnostic reliability of computer vision artificial intelligence algorithm in automating anatomical classification for second-trimester fetal anomaly ultrasound scans: A prospective cohort study.,Automating identification of standard fetal anatomical planes during second-trimester anomaly ultrasound to improve diagnostic accuracy and workflow efficiency.,Fetal assessment / prenatal,
41482270,2026,Identifying diagnostic neuroimaging biomarkers for adolescent major depressive disorder.,Identifying diagnostic neuroimaging biomarkers to differentiate adolescents with major depressive disorder from healthy controls.,Autism / ADHD / psychiatric,
41483611,2026,Development and preliminary evaluation of a machine learning model for predicting low birth weight using placental IVIM-MRI and maternal clinical characteristics.,Predicting low birth weight risk using placental IVIM-MRI perfusion parameters combined with maternal clinical characteristics.,Fetal assessment / prenatal,
41488804,2026,Digital Eye: Deep Learning for Detecting Physeal Fractures of the Pediatric Distal Radius.,classifying pediatric distal radius fractures by physeal involvement to guide orthopedic referral,Fracture / trauma / abuse,
41492040,2026,Intratumoral and peritumoral radiomics for the pretreatment prediction of response to neoadjuvant chemotherapy in rhabdomyosarcoma: a multicenter retrospective cohort study.,predicting response to neoadjuvant chemotherapy in pediatric rhabdomyosarcoma,,
41494496,2026,"Disease and state dependent neural markers in adolescents with BD. Understanding the neural bases of mania, depression and remission in a data fusion approach.","Identifying disease- and mood-state-dependent neural markers (mania, depression, remission) in pediatric bipolar disorder using multimodal MRI data fusion.",Autism / ADHD / psychiatric,
41494544,2026,Adolescents with non-suicidal self-injury exhibit increased pain empathic neural reactivity and personal distress to physical but not affective pain.,Identifying neural signatures of increased pain-empathy reactivity in adolescents with non-suicidal self-injury using fMRI and machine learning,,
41498826,2026,Comparative study of the performance of two versions of the same AI tool for pediatric skeletal maturation assessment.,bone age and bone health index assessment in children,Bone age / skeletal maturation,
41499517,2026,Reference charts for first-trimester placental three-dimensional fractional moving blood volume derived using OxNNet.,establishing reference ranges for first-trimester placental blood flow to assess placental function,Fetal assessment / prenatal,
41503005,2026,TissUnet: Improved extracranial tissue and cranium segmentation for children through adulthood.,"segmenting extracranial tissues on brain MRI to support craniofacial and cardiometabolic risk studies, including in pediatric brain tumor patients",Brain / CNS tumors,
41503872,2026,Wavelet-Based Frequency Replacement and Edge Enhancement for Semi-Supervised Fetal Ultrasound Image Segmentation.,"Segment fetal anatomical structures (e.g., fetal head, pubic symphysis) on ultrasound images using only a small number of annotated images",Fetal assessment / prenatal,
41505754,2026,Multicenter Evaluation of an Artificial Intelligence System for Automatic Recognition of Fetal Ultrasound Findings Suggestive of Congenital Malformations.,detecting fetal ultrasound findings suggestive of congenital malformations,Fetal assessment / prenatal,
41506453,2026,A fully autonomous AI system for accurate and reproducible Cobb angle measurement in adolescent idiopathic scoliosis: a multicenter study.,Cobb angle measurement for adolescent idiopathic scoliosis,Scoliosis / spine deformity,
41510574,2026,Artificial intelligence application in the prediction of spontaneous preterm birth by cervical length in the first trimester of pregnancy: Comparison of three measurement methods.,Predicting spontaneous preterm birth from first-trimester cervical length measured by AI-assisted ultrasound,,
41513744,2026,Automatic bone age assessment: a deep learning case study on the Brazilian population with a supporting mobile application prototype.,automatic bone age assessment,Bone age / skeletal maturation,
41519096,2026,ADHTransNet-based radiomics on multimodal pituitary MRI for non-invasive hormone prediction in children.,non-invasive prediction of growth hormone and gonadotropin levels for growth hormone deficiency and central precocious puberty,,
41522042,2026,A developmental stage-aware graph transformer framework for automated bone-age assessment.,"Automated bone-age assessment to monitor pediatric growth and diagnose endocrine disorders, more accurately and interpretably than manual atlas methods.",,RSNA bone age
41526020,2026,Catalysing Artificial Intelligence for Paediatric Tuberculosis Research (CAPTURE): protocol for a global multicentre study establishing a paediatric chest X-ray repository to evaluate computer-aided detection algorithms.,"Establishing a large pediatric chest X-ray repository to evaluate and optimize computer-aided detection (CAD) algorithms for childhood tuberculosis, since adult-trained CAD underperforms in children",Pulmonary infection,
